FRAME,LOWER BODY,UPPER BODY,PCLJ
1,3,0,0.25
2,3,0,0.25
3,3,0,0.25
4,3,0,0.25
5,3,0,0.25
6,3,0,0.25
7,3,0,0.25
8,4,1,0.4166666670000001
9,4,0,0.333333333
10,4,0,0.333333333
11,4,2,0.5
12,3,0,0.25
13,3,0,0.25
14,4,1,0.4166666670000001
15,3,0,0.25
16,2,1,0.25
17,1,2,0.25
18,2,3,0.4166666670000001
19,3,0,0.25
20,0,3,0.25
21,1,5,0.5
22,2,3,0.4166666670000001
23,6,3,0.75
24,5,2,0.583333333
25,3,2,0.4166666670000001
26,4,2,0.5
27,3,4,0.583333333
28,5,3,0.666666667
29,0,0,0.0
30,6,1,0.583333333
31,1,0,0.083333333
32,6,2,0.666666667
33,6,3,0.75
34,4,1,0.4166666670000001
35,2,0,0.166666667
36,0,0,0.0
37,0,0,0.0
38,2,2,0.333333333
39,0,0,0.0
40,0,0,0.0
41,0,1,0.083333333
42,0,0,0.0
43,0,0,0.0
44,0,0,0.0
45,1,0,0.083333333
46,1,0,0.083333333
47,2,1,0.25
48,0,0,0.0
49,1,0,0.083333333
50,1,0,0.083333333
51,3,0,0.25
52,3,1,0.333333333
53,3,1,0.333333333
54,3,0,0.25
55,6,0,0.5
56,6,1,0.583333333
57,6,0,0.5
58,5,0,0.4166666670000001
59,6,2,0.666666667
60,6,0,0.5
61,5,0,0.4166666670000001
62,4,0,0.333333333
63,4,0,0.333333333
64,3,0,0.25
