FRAME,LOWER BODY,UPPER BODY,PCLJ
1,6,4,0.833333333
2,5,4,0.75
3,5,3,0.666666667
4,5,4,0.75
5,5,4,0.75
6,6,4,0.833333333
7,6,4,0.833333333
8,5,4,0.75
9,5,4,0.75
10,5,4,0.75
11,5,4,0.75
12,6,4,0.833333333
13,6,4,0.833333333
14,6,5,0.916666667
15,6,5,0.916666667
16,6,5,0.916666667
17,5,4,0.75
18,5,2,0.583333333
19,5,0,0.416666667
20,6,1,0.583333333
21,6,1,0.583333333
22,5,1,0.5
23,3,0,0.25
24,6,2,0.666666667
25,6,0,0.5
26,5,1,0.5
27,5,0,0.416666667
28,5,1,0.5
29,5,0,0.416666667
30,5,1,0.5
31,5,1,0.5
32,5,2,0.583333333
33,4,2,0.5
34,2,0,0.166666667
35,3,2,0.416666667
36,3,2,0.416666667
37,3,1,0.333333333
38,3,0,0.25
39,0,0,0
40,2,0,0.166666667
41,2,0,0.166666667
42,3,0,0.25
43,6,0,0.5
44,3,0,0.25
45,1,0,0.083333333
46,1,0,0.083333333
47,1,1,0.166666667
48,4,2,0.5
49,3,0,0.25
50,4,2,0.5
51,3,0,0.25
52,2,5,0.583333333
53,3,2,0.416666667
54,3,2,0.416666667
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
